ano_agricola;safra;uf;produto;id_produto;id_levantamento;dsc_levantamento;area_plantada_mil_ha;producao_mil_t;produtividade_mil_ha_mil_t
2017                ;UNICA          ;AM;CAFE                                    ;7498; 001;1º LEV              ;429;7;16.3
2017                ;UNICA          ;AM;CAFE                                    ;7498; 002;2º LEV              ;543;8;14.7
2017                ;UNICA          ;AM;CAFE                                    ;7498; 003;3º LEV              ;504;8;15.9
2017                ;UNICA          ;AM;CAFE                                    ;7090; 099;LEVANT              ;504;8;15.9
2017                ;UNICA          ;BA;CAFE                                    ;7498; 099;LEVANT              ;94871;978;10.3
2017                ;UNICA          ;BA;CAFE                                    ;7090; 099;LEVANT              ;46770;2380;50.9
2017                ;UNICA          ;ES;CAFE                                    ;7090; 099;LEVANT              ;235415;5915;25.1
2017                ;UNICA          ;ES;CAFE                                    ;7498; 099;LEVANT              ;150123;2950;19.7
2017                ;UNICA          ;GO;CAFE                                    ;7498; 099;LEVANT              ;5516;190;34.4
2017                ;UNICA          ;MG;CAFE                                    ;7498; 099;LEVANT              ;967751;24102;24.9
2017                ;UNICA          ;MG;CAFE                                    ;7090; 099;LEVANT              ;13011;344;26.4
2017                ;UNICA          ;MT;CAFE                                    ;7090; 099;LEVANT              ;9518;90;9.5
2017                ;UNICA          ;MT;CAFE                                    ;7498; 099;LEVANT              ;45;1;22.2
2017                ;UNICA          ;NI;CAFE                                    ;7498; 099;LEVANT              ;6293;57;9.1
2017                ;UNICA          ;NI;CAFE                                    ;7090; 099;LEVANT              ;;40;
2017                ;UNICA          ;PA;CAFE                                    ;7090; 099;LEVANT              ;460;6;13
2017                ;UNICA          ;PR;CAFE                                    ;7498; 099;LEVANT              ;46070;1210;26.3
2017                ;UNICA          ;RJ;CAFE                                    ;7498; 099;LEVANT              ;13053;349;26.7
2017                ;UNICA          ;RO;CAFE                                    ;7090; 099;LEVANT              ;74255;1938;26.1
2017                ;UNICA          ;SP;CAFE                                    ;7498; 099;LEVANT              ;200629;4412;22
2018                ;UNICA          ;AM;CAFE                                    ;7498; 001;1º LEV              ;504;7;13.9
2018                ;UNICA          ;AM;CAFE                                    ;7498; 002;2º LEV              ;504;7;13.9
2018                ;UNICA          ;AM;CAFE                                    ;7498; 003;3º LEV              ;504;7;13.9
2018                ;UNICA          ;AM;CAFE                                    ;7498; 004;4º LEV              ;504;7;13.9
2018                ;UNICA          ;BA;CAFE                                    ;7090; 001;1º LEV              ;47166;2347;49.8
2018                ;UNICA          ;BA;CAFE                                    ;7498; 001;1º LEV              ;94312;1779;18.9
2018                ;UNICA          ;BA;CAFE                                    ;7090; 002;2º LEV              ;47200;2720;57.6
2018                ;UNICA          ;BA;CAFE                                    ;7498; 002;2º LEV              ;83224;1789;21.5
2018                ;UNICA          ;BA;CAFE                                    ;7498; 003;3º LEV              ;83224;1924;23.1
2018                ;UNICA          ;BA;CAFE                                    ;7090; 003;3º LEV              ;47200;2690;57
2018                ;UNICA          ;BA;CAFE                                    ;7090; 004;4º LEV              ;47700;2670;56
2018                ;UNICA          ;BA;CAFE                                    ;7498; 004;4º LEV              ;82300;1880;22.8
2018                ;UNICA          ;ES;CAFE                                    ;7498; 001;1º LEV              ;156603;4300;27.5
2018                ;UNICA          ;ES;CAFE                                    ;7090; 001;1º LEV              ;231323;8155;35.3
2018                ;UNICA          ;ES;CAFE                                    ;7090; 002;2º LEV              ;231323;8307;35.9
2018                ;UNICA          ;ES;CAFE                                    ;7498; 002;2º LEV              ;156603;4507;28.8
2018                ;UNICA          ;ES;CAFE                                    ;7498; 003;3º LEV              ;156603;4675;29.9
2018                ;UNICA          ;ES;CAFE                                    ;7090; 003;3º LEV              ;231323;8813;38.1
2018                ;UNICA          ;ES;CAFE                                    ;7498; 004;4º LEV              ;156603;4751;30.3
2018                ;UNICA          ;ES;CAFE                                    ;7090; 004;4º LEV              ;231323;8988;38.9
2018                ;UNICA          ;GO;CAFE                                    ;7498; 001;1º LEV              ;6547;150;22.9
2018                ;UNICA          ;GO;CAFE                                    ;7498; 002;2º LEV              ;6575;151;23
2018                ;UNICA          ;GO;CAFE                                    ;7498; 003;3º LEV              ;6602;158;23.9
2018                ;UNICA          ;GO;CAFE                                    ;7498; 004;4º LEV              ;5905;195;33
2018                ;UNICA          ;MG;CAFE                                    ;7090; 001;1º LEV              ;13206;334;25.3
2018                ;UNICA          ;MG;CAFE                                    ;7498; 001;1º LEV              ;1020430;29529;28.9
2018                ;UNICA          ;MG;CAFE                                    ;7498; 002;2º LEV              ;998938;30362;30.4
2018                ;UNICA          ;MG;CAFE                                    ;7090; 002;2º LEV              ;13011;336;25.8
2018                ;UNICA          ;MG;CAFE                                    ;7090; 003;3º LEV              ;13011;336;25.8
2018                ;UNICA          ;MG;CAFE                                    ;7498; 003;3º LEV              ;989185;31553;31.9
2018                ;UNICA          ;MG;CAFE                                    ;7090; 004;4º LEV              ;13011;390;30
2018                ;UNICA          ;MG;CAFE                                    ;7498; 004;4º LEV              ;995584;32970;33.1
2018                ;UNICA          ;MT;CAFE                                    ;7498; 001;1º LEV              ;50;1;20
2018                ;UNICA          ;MT;CAFE                                    ;7090; 001;1º LEV              ;10000;100;10
2018                ;UNICA          ;MT;CAFE                                    ;7498; 002;2º LEV              ;45;1;22.2
2018                ;UNICA          ;MT;CAFE                                    ;7090; 002;2º LEV              ;9920;106;10.7
2018                ;UNICA          ;MT;CAFE                                    ;7090; 003;3º LEV              ;9915;106;10.7
