ano_entrega;mes_entrega;municipio;uf;regiao;sexo;ds_unidade_medida;qtd_entregue;valor_entregue
2022,0;1,0;BRASÍLIA-DF                   ;DF;CENTRO-OESTE   ;FEMININO  ;kg        ;4684,471;19805,24374
2022,0;1,0;BRASÍLIA-DF                   ;DF;CENTRO-OESTE   ;MASCULINO ;kg        ;1860,828;6772,64832
2022,0;1,0;BURITIS-MG                    ;DF;CENTRO-OESTE   ;FEMININO  ;kg        ;647,31;4666,4395
2022,0;1,0;BURITIS-MG                    ;DF;CENTRO-OESTE   ;MASCULINO ;kg        ;369,26;2762,159
2022,0;1,0;COCALZINHO DE GOIÁS-GO        ;DF;CENTRO-OESTE   ;FEMININO  ;kg        ;696,23;2264,3712
2022,0;1,0;FLORES DE GOIÁS-GO            ;DF;CENTRO-OESTE   ;MASCULINO ;kg        ;311,292;4485,71772
2022,0;1,0;ARAGOIÂNIA-GO                 ;GO;CENTRO-OESTE   ;MASCULINO ;kg        ;1524,63;6219,2976
2022,0;1,0;ARAGUAPAZ-GO                  ;GO;CENTRO-OESTE   ;FEMININO  ;kg        ;1303,0;7956,39
2022,0;1,0;ARAGUAPAZ-GO                  ;GO;CENTRO-OESTE   ;MASCULINO ;kg        ;333,0;1854,81
2022,0;1,0;CAMPOS VERDES-GO              ;GO;CENTRO-OESTE   ;FEMININO  ;kg        ;5016,999;80281,95225
2022,0;1,0;CAMPOS VERDES-GO              ;GO;CENTRO-OESTE   ;MASCULINO ;kg        ;524,0;7994,78
2022,0;1,0;SILVÂNIA-GO                   ;GO;CENTRO-OESTE   ;FEMININO  ;kg        ;19,3;280,1555
2022,0;1,0;SILVÂNIA-GO                   ;GO;CENTRO-OESTE   ;MASCULINO ;kg        ;269,0;1323,165
2022,0;1,0;DOURADOS-MS                   ;MS;CENTRO-OESTE   ;FEMININO  ;kg        ;663,0;1296,55
2022,0;1,0;DOURADOS-MS                   ;MS;CENTRO-OESTE   ;MASCULINO ;kg        ;2326,0;7427,4
2022,0;1,0;ITAPORÃ-MS                    ;MS;CENTRO-OESTE   ;FEMININO  ;kg        ;999,0;1998,0
2022,0;1,0;ITAQUIRAÍ-MS                  ;MS;CENTRO-OESTE   ;MASCULINO ;kg        ;432,0;1123,2
2022,0;1,0;IVINHEMA-MS                   ;MS;CENTRO-OESTE   ;FEMININO  ;kg        ;93,0;262,6
2022,0;1,0;NOVO HORIZONTE DO SUL-MS      ;MS;CENTRO-OESTE   ;FEMININO  ;kg        ;7939,303;23109,3326
2022,0;1,0;NOVO HORIZONTE DO SUL-MS      ;MS;CENTRO-OESTE   ;MASCULINO ;kg        ;900,0;1477,2
2022,0;1,0;PONTA PORÃ-MS                 ;MS;CENTRO-OESTE   ;FEMININO  ;kg        ;5135,0;12227,9
2022,0;1,0;PONTA PORÃ-MS                 ;MS;CENTRO-OESTE   ;MASCULINO ;kg        ;4384,0;11013,3
2022,0;1,0;SIDROLÂNDIA-MS                ;MS;CENTRO-OESTE   ;FEMININO  ;kg        ;6376,0;13076,1
2022,0;1,0;TERENOS-MS                    ;MS;CENTRO-OESTE   ;FEMININO  ;kg        ;10633,0;20750,6
2022,0;1,0;TERENOS-MS                    ;MS;CENTRO-OESTE   ;MASCULINO ;kg        ;416,0;1089,4
2022,0;1,0;VICENTINA-MS                  ;MS;CENTRO-OESTE   ;FEMININO  ;kg        ;1546,0;1669,85
2022,0;1,0;CÁCERES-MT                    ;MT;CENTRO-OESTE   ;FEMININO  ;kg        ;1409,64;3002,1025
2022,0;1,0;COLÍDER-MT                    ;MT;CENTRO-OESTE   ;FEMININO  ;kg        ;35,1;151,116
2022,0;1,0;NOVA BANDEIRANTES-MT          ;MT;CENTRO-OESTE   ;FEMININO  ;kg        ;6160,0;19563,12
2022,0;1,0;NOVA BANDEIRANTES-MT          ;MT;CENTRO-OESTE   ;MASCULINO ;kg        ;24,0;101,3
2022,0;1,0;NOVA CANAÃ DO NORTE-MT        ;MT;CENTRO-OESTE   ;FEMININO  ;kg        ;488,582;1396,37018
2022,0;1,0;NOVA CANAÃ DO NORTE-MT        ;MT;CENTRO-OESTE   ;MASCULINO ;kg        ;929,3;1559,789
2022,0;1,0;PORTO ESTRELA-MT              ;MT;CENTRO-OESTE   ;FEMININO  ;kg        ;840,554;2645,9814
2022,0;1,0;PORTO ESTRELA-MT              ;MT;CENTRO-OESTE   ;MASCULINO ;kg        ;227,629;765,7814
2022,0;1,0;TERRA NOVA DO NORTE-MT        ;MT;CENTRO-OESTE   ;FEMININO  ;kg        ;1412,0;3029,8
2022,0;1,0;TERRA NOVA DO NORTE-MT        ;MT;CENTRO-OESTE   ;MASCULINO ;kg        ;308,5;1481,2
2022,0;1,0;IGACI-AL                      ;AL;NORDESTE       ;FEMININO  ;kg        ;249,6;3207,36
2022,0;1,0;PALMEIRA DOS ÍNDIOS-AL        ;AL;NORDESTE       ;MASCULINO ;kg        ;1303,0;2778,61
2022,0;1,0;SÃO JOSÉ DA TAPERA-AL         ;AL;NORDESTE       ;FEMININO  ;kg        ;480,0;3998,4
2022,0;1,0;SÃO JOSÉ DA TAPERA-AL         ;AL;NORDESTE       ;MASCULINO ;kg        ;720,0;5997,6
2022,0;1,0;TRAIPU-AL                     ;AL;NORDESTE       ;FEMININO  ;kg        ;6750,0;13500,0
2022,0;1,0;AMARGOSA-BA                   ;BA;NORDESTE       ;FEMININO  ;kg        ;4008,0;7675,8
2022,0;1,0;AMARGOSA-BA                   ;BA;NORDESTE       ;MASCULINO ;kg        ;167,0;517,2
2022,0;1,0;AURELINO LEAL-BA              ;BA;NORDESTE       ;FEMININO  ;kg        ;87,0;174,0
2022,0;1,0;BAIANÓPOLIS-BA                ;BA;NORDESTE       ;FEMININO  ;kg        ;11609,69;29239,587
2022,0;1,0;BARRA DO CHOÇA-BA             ;BA;NORDESTE       ;FEMININO  ;kg        ;2406,0;2887,2
2022,0;1,0;BARRA DO CHOÇA-BA             ;BA;NORDESTE       ;MASCULINO ;kg        ;5035,666;11442,7992
2022,0;1,0;ELÍSIO MEDRADO-BA             ;BA;NORDESTE       ;FEMININO  ;kg        ;2642,0;4280,5
2022,0;1,0;IBIRAPITANGA-BA               ;BA;NORDESTE       ;FEMININO  ;kg        ;7037,0;20884,7
2022,0;1,0;IBIRAPITANGA-BA               ;BA;NORDESTE       ;MASCULINO ;kg        ;1213,0;2970,8
2022,0;1,0;IBOTIRAMA-BA                  ;BA;NORDESTE       ;FEMININO  ;kg        ;639,0;2607,5
2022,0;1,0;ITACARÉ-BA                    ;BA;NORDESTE       ;FEMININO  ;kg        ;12879,0;37531,1
