ano;mes;municipio;cod_ibge;uf;regiao;valor_formalizado;valor_executado;valor_devolvido
2015,0;1,0;JARAGUÁ-GO                                        ;5211800                       ;GO        ;CENTRO-OESTE        ;455715,0;455715,0;571212,3900000005
2015,0;1,0;PICUÍ-PB                                          ;2511400                       ;PB        ;NORDESTE            ;103996,5;103996,4984;0,0
2015,0;1,0;MOITA BONITA-SE                                   ;2804102                       ;SE        ;NORDESTE            ;247488,22;223992,15865;0,0
2015,0;2,0;ÁGUA DOCE DO NORTE-ES                             ;3200169                       ;ES        ;SUDESTE             ;49564,33;49564,32413;27230,76
2015,0;2,0;PINHEIROS-ES                                      ;3204104                       ;ES        ;SUDESTE             ;564324,31;516324,2654099999;3028064,4799999995
2015,0;2,0;GOIÁS-GO                                          ;5208905                       ;GO        ;CENTRO-OESTE        ;126516,52;126516,52;0,0
2015,0;2,0;ITUMBIARA-GO                                      ;5211503                       ;GO        ;CENTRO-OESTE        ;327479,8700000001;319480,67;71941,6
2015,0;2,0;JATAÍ-GO                                          ;5211909                       ;GO        ;CENTRO-OESTE        ;159970,5;159970,48875;25327,8
2015,0;2,0;MONTIVIDIU DO NORTE-GO                            ;5213772                       ;GO        ;CENTRO-OESTE        ;182351,79;166354,99;172184,74
2015,0;2,0;ANAURILÂNDIA-MS                                   ;5000807                       ;MS        ;CENTRO-OESTE        ;173949,28;157950,375;169163,8
2015,0;2,0;CONDADO-PB                                        ;2504504                       ;PB        ;NORDESTE            ;479998,56;471998,51;1729446,9399999983
2015,0;3,0;CAIAPÔNIA-GO                                      ;5204409                       ;GO        ;CENTRO-OESTE        ;540417,13;540417,13;477178,4400000003
2015,0;3,0;GOIÁS-GO                                          ;5208905                       ;GO        ;CENTRO-OESTE        ;58080,92;58080,92;0,0
2015,0;3,0;IPAMERI-GO                                        ;5210109                       ;GO        ;CENTRO-OESTE        ;183995,98;183995,982;0,0
2015,0;3,0;ITUMBIARA-GO                                      ;5211503                       ;GO        ;CENTRO-OESTE        ;239995,02;215996,06;167702,4
2015,0;3,0;JATAÍ-GO                                          ;5211909                       ;GO        ;CENTRO-OESTE        ;983973,0099999998;959973,0104999987;1618772,4000000018
2015,0;3,0;MUNDO NOVO-GO                                     ;5214051                       ;GO        ;CENTRO-OESTE        ;1242092,1900000004;1178102,6600000004;0,0
2015,0;3,0;SANTA RITA-PB                                     ;2513703                       ;PB        ;NORDESTE            ;245726,7699999999;239703,76768;259459,8000000001
2015,0;3,0;SÃO BENTINHO-PB                                   ;2513927                       ;PB        ;NORDESTE            ;432000,0;408000,00167;0,0
2015,0;3,0;ROLIM DE MOURA-RO                                 ;1100288                       ;RO        ;NORTE               ;667619,69;603632,5099999999;4621085,819999999
2015,0;3,0;CONSTANTINA-RS                                    ;4305801                       ;RS        ;SUL                 ;1916327,57;1588138,4999999998;82961443,70000033
2015,0;3,0;PELOTAS-RS                                        ;4314407                       ;RS        ;SUL                 ;232893,81;216869,46;116037,0399999999
2015,0;4,0;ITAMARATI-AM                                      ;1301951                       ;AM        ;NORTE               ;649925,3899999998;649925,3899999998;6118,02
2015,0;4,0;MANACAPURU-AM                                     ;1302504                       ;AM        ;NORTE               ;1321478,7199999995;1297478,9099999997;1466169,329999998
2015,0;4,0;PEDRO CANÁRIO-ES                                  ;3204054                       ;ES        ;SUDESTE             ;525322,0399999998;357525,61733;3430025,139999995
2015,0;4,0;SÃO GABRIEL DA PALHA-ES                           ;3204708                       ;ES        ;SUDESTE             ;832138,5900000002;816144,1000000002;3700144,240000005
2015,0;4,0;SÃO MATEUS-ES                                     ;3204906                       ;ES        ;SUDESTE             ;415983,7400000002;415983,6928600001;0,0
2015,0;4,0;GOIÂNIA-GO                                        ;5208707                       ;GO        ;CENTRO-OESTE        ;372146,45;332371,0951995441;407973,25
