Ano;UF;Quantidade (mil t)
2.025,00;AC;94,61
2.025,00;AL;554,45
2.025,00;AM;438,24
2.025,00;AP;196,30
2.025,00;BA;7.921,49
2.025,00;CE;378,72
2.025,00;DF;539,29
2.025,00;ES;1.790,48
2.025,00;GO;18.462,51
2.025,00;MA;3.076,75
2.025,00;MG;14.027,38
2.025,00;MS;14.129,22
2.025,00;MT;54.396,19
2.025,00;PA;2.667,93
2.025,00;PB;90,34
2.025,00;PE;507,11
2.025,00;PI;2.886,63
2.025,00;PR;32.748,46
2.025,00;RJ;95,02
2.025,00;RN;60,02
2.025,00;RO;1.296,10
2.025,00;RR;158,86
2.025,00;RS;33.450,01
2.025,00;SC;6.759,06
2.025,00;SE;13,10
2.025,00;SP;16.947,95
2.025,00;TO;3.610,21
2.024,00;AC;92,77
2.024,00;AL;550,72
2.024,00;AM;438,24
2.024,00;AP;196,30
2.024,00;BA;7.718,61
2.024,00;CE;378,72
2.024,00;DF;538,13
2.024,00;ES;1.575,09
2.024,00;GO;17.229,24
2.024,00;MA;3.076,75
2.024,00;MG;13.525,31
2.024,00;MS;13.539,67
2.024,00;MT;52.275,77
2.024,00;PA;2.627,36
2.024,00;PB;90,34
2.024,00;PE;507,11
2.024,00;PI;2.859,94
2.024,00;PR;31.910,45
2.024,00;RJ;95,02
2.024,00;RN;60,02
2.024,00;RO;1.284,04
2.024,00;RR;158,86
2.024,00;RS;32.718,97
2.024,00;SC;6.559,76
2.024,00;SE;13,50
2.024,00;SP;16.436,34
2.024,00;TO;3.608,04
2.023,00;AC;75,92
2.023,00;AL;550,72
2.023,00;AM;438,24
2.023,00;AP;196,30
2.023,00;BA;7.553,93
2.023,00;CE;363,42
2.023,00;DF;411,60
2.023,00;ES;1.490,96
2.023,00;GO;16.249,15
2.023,00;MA;3.036,34
2.023,00;MG;12.708,55
2.023,00;MS;12.616,19
2.023,00;MT;48.722,01
2.023,00;PA;2.515,08
2.023,00;PB;90,34
2.023,00;PE;507,11
2.023,00;PI;2.716,96
2.023,00;PR;31.043,43
2.023,00;RJ;95,02
2.023,00;RN;60,02
2.023,00;RO;1.209,10
2.023,00;RR;158,86
2.023,00;RS;32.636,66
2.023,00;SC;6.504,55
2.023,00;SE;13,50
2.023,00;SP;16.079,88
2.023,00;TO;3.114,63
2.022,00;AC;66,51
2.022,00;AL;550,72
2.022,00;AM;349,03
2.022,00;AP;196,30
2.022,00;BA;5.637,01
2.022,00;CE;363,42
2.022,00;DF;349,25
2.022,00;ES;1.284,35
2.022,00;GO;15.789,54
2.022,00;MA;2.844,20
2.022,00;MG;10.640,44
2.022,00;MS;10.874,79
2.022,00;MT;44.781,02
2.022,00;PA;2.219,82
2.022,00;PB;90,34
2.022,00;PE;507,11
2.022,00;PI;2.456,75
2.022,00;PR;30.720,33
2.022,00;RJ;95,02
2.022,00;RN;60,02
2.022,00;RO;1.163,80
2.022,00;RR;158,86
2.022,00;RS;32.532,01
2.022,00;SC;6.587,81
2.022,00;SE;13,50
2.022,00;SP;14.818,27
2.022,00;TO;2.546,96
2.021,00;AC;28,57
2.021,00;AL;550,72
2.021,00;AM;349,03
2.021,00;AP;5,69
2.021,00;BA;5.560,73
2.021,00;CE;363,42
2.021,00;DF;405,68
2.021,00;ES;1.419,32
2.021,00;GO;14.563,99
2.021,00;MA;2.796,64
2.021,00;MG;9.971,61
2.021,00;MS;10.418,89
2.021,00;MT;39.103,85
2.021,00;PA;1.684,70
2.021,00;PB;90,34
2.021,00;PE;507,11
2.021,00;PI;2.413,81
2.021,00;PR;29.979,80
2.021,00;RJ;135,65
2.021,00;RN;60,02
2.021,00;RO;1.143,60
2.021,00;RR;179,77
2.021,00;RS;32.300,28
2.021,00;SC;6.217,99
2.021,00;SE;13,50
2.021,00;SP;13.662,77
2.021,00;TO;2.446,31
2.020,00;AC;28,57
2.020,00;AL;550,72
2.020,00;AM;349,03
2.020,00;AP;6,33
2.020,00;BA;5.526,89
2.020,00;CE;363,42
2.020,00;DF;389,77
2.020,00;ES;1.439,32
2.020,00;GO;13.994,30
2.020,00;MA;2.751,24
2.020,00;MG;10.048,30
2.020,00;MS;10.124,93
2.020,00;MT;38.700,39
2.020,00;PA;1.727,77
2.020,00;PB;90,34
2.020,00;PE;507,11
2.020,00;PI;1.138,26
2.020,00;PR;29.910,60
2.020,00;RJ;135,65
2.020,00;RN;60,02
2.020,00;RO;1.143,60
2.020,00;RR;148,84
2.020,00;RS;30.945,72
2.020,00;SC;5.887,16
2.020,00;SE;13,50
2.020,00;SP;13.201,75
2.020,00;TO;2.359,14
2.019,00;AC;28,57
2.019,00;AL;550,72
2.019,00;AM;349,03
2.019,00;AP;6,33
2.019,00;BA;5.361,46
2.019,00;CE;363,42
2.019,00;DF;389,77
2.019,00;ES;1.427,58
2.019,00;GO;13.645,23
2.019,00;MA;2.767,76
2.019,00;MG;10.078,88
2.019,00;MS;9.861,28
2.019,00;MT;37.928,26
2.019,00;PA;1.449,39
2.019,00;PB;90,34
2.019,00;PE;688,72
2.019,00;PI;1.094,32
2.019,00;PR;30.024,65
2.019,00;RJ;162,45
2.019,00;RN;60,02
2.019,00;RO;1.142,88
2.019,00;RR;147,48
2.019,00;RS;30.850,98
2.019,00;SC;5.865,79
2.019,00;SE;13,50
2.019,00;SP;13.177,72
2.019,00;TO;2.288,07
2.018,00;AC;28,28
2.018,00;AL;550,72
2.018,00;AM;349,03
2.018,00;AP;6,33
2.018,00;BA;5.065,63
2.018,00;CE;363,42
2.018,00;DF;390,32
2.018,00;ES;1.397,53
2.018,00;GO;13.307,17
2.018,00;MA;2.804,88
2.018,00;MG;9.862,45
2.018,00;MS;9.537,49
2.018,00;MT;37.541,56
2.018,00;PA;1.224,21
2.018,00;PB;90,34
2.018,00;PE;688,72
2.018,00;PI;1.080,95
2.018,00;PR;29.772,70
2.018,00;RJ;158,85
2.018,00;RN;63,50
2.018,00;RO;1.142,19
2.018,00;RR;147,48
2.018,00;RS;29.571,72
2.018,00;SC;5.851,32
2.018,00;SE;13,50
2.018,00;SP;12.907,25
2.018,00;TO;2.181,06
2.017,00;AC;28,28
2.017,00;AL;550,72
2.017,00;AM;349,03
2.017,00;AP;6,33
2.017,00;BA;4.932,03
2.017,00;CE;363,42
2.017,00;DF;390,32
2.017,00;ES;1.333,35
2.017,00;GO;13.274,77
2.017,00;MA;2.772,67
2.017,00;MG;9.616,39
2.017,00;MS;8.821,05
2.017,00;MT;36.206,36
2.017,00;PA;1.166,58
2.017,00;PB;90,34
2.017,00;PE;668,92
2.017,00;PI;1.080,95
2.017,00;PR;29.921,24
2.017,00;RJ;158,85
2.017,00;RN;63,50
2.017,00;RO;728,07
2.017,00;RR;147,48
2.017,00;RS;29.275,62
2.017,00;SC;5.596,39
2.017,00;SE;13,50
2.017,00;SP;12.771,63
2.017,00;TO;1.989,72
2.016,00;AC;28,28
2.016,00;AL;550,72
2.016,00;AM;349,03
2.016,00;AP;6,33
2.016,00;BA;4.923,22
2.016,00;CE;363,42
2.016,00;DF;390,32
2.016,00;ES;1.435,64
2.016,00;GO;13.137,11
2.016,00;MA;2.605,21
2.016,00;MG;9.390,50
