produto,id_produto,dsc_safra,estoque_inicial_1000t,producao_1000t,importacao_1000t,consumo_1000t,exportacao_1000t,estoque_final_1000t
ALGODAO EM PLUMA                        ,11182,1999/00        ,380.09,700.3,299.9,885.0,28.5,466.79
ALGODAO EM PLUMA                        ,11182,2000/01        ,466.79,938.8,81.3,865.0,147.3,474.59
ALGODAO EM PLUMA                        ,11182,2001/02        ,474.59,766.2,67.6,815.0,109.6,383.79
ALGODAO EM PLUMA                        ,11182,2002/03        ,383.79,847.5,118.9,830.0,175.4,344.79
ALGODAO EM PLUMA                        ,11182,2003/04        ,344.79,1309.4,105.2,903.4,331.0,524.99
ALGODAO EM PLUMA                        ,11182,2004/05        ,524.99,1298.7,37.621,945.9,390.963,524.448
ALGODAO EM PLUMA                        ,11182,2005/06        ,524.448,1037.8,81.6,983.4,304.5,355.948
ALGODAO EM PLUMA                        ,11182,2006/07        ,355.948,1524.0,96.781,990.0,419.4,567.329
ALGODAO EM PLUMA                        ,11182,2007/08        ,567.329,1602.2,33.71,995.3,532.949,674.99
ALGODAO EM PLUMA                        ,11182,2008/09        ,674.99,1213.7,14.459,1004.1,504.9,394.149
ALGODAO EM PLUMA                        ,11182,2009/10        ,394.149,1194.1,39.22,1039.0,512.5,75.969
ALGODAO EM PLUMA                        ,11182,2010/11        ,75.969,1959.8,144.2,860.0,758.3,561.669
ALGODAO EM PLUMA                        ,11182,2011/12        ,561.669,1893.3,3.5,840.0,1052.8,565.669
ALGODAO EM PLUMA                        ,11182,2012/13        ,565.669,1310.3,17.4,875.0,572.913,445.456
ALGODAO EM PLUMA                        ,11182,2013/14        ,445.456,1734.0,31.456566,810.0,748.6,652.312566
ALGODAO EM PLUMA                        ,11182,2014/15        ,652.312566,1562.8,2.1,670.0,834.3,712.912566
ALGODAO EM PLUMA                        ,11182,2015/16        ,712.9,1289.2,27.0,640.0,804.0,585.1
ALGODAO EM PLUMA                        ,11182,2016/17        ,585.1,1529.5,33.6,685.0,834.1,629.1
ALGODAO EM PLUMA                        ,11182,2017/18        ,629.1,2005.8,19.6,700.0,974.0,980.5
ALGODAO EM PLUMA                        ,11182,2018/19        ,980.5,2778.8,1.7,720.0,1613.7,1427.3
ALGODAO EM PLUMA                        ,11182,2019/20        ,1427.3,3001.6,2.2,690.0,2125.4,1615.7
ALGODAO EM PLUMA                        ,11182,2020/21        ,1615.7,2359.0,4.6,720.0,2016.6,1242.7
ALGODAO EM PLUMA                        ,11182,2021/22        ,1242.7,2554.1,2.3,675.0,1803.7,1320.4
ALGODAO EM PLUMA                        ,11182,2022/23        ,1320.4,3173.3,1.7,710.0,1618.2,2167.2
ALGODAO EM PLUMA                        ,11182,2023/24        ,2167.2,3701.1,1.1,695.0,2774.3,2400.1
ALGODAO EM PLUMA                        ,11182,2024/25        ,2400.1,4076.1,1.0,725.0,2943.0,2809.2
ARROZ                                   ,11159,2018/19        ,812.3,10483.6,1037.7,10780.3,1365.7,187.6
ARROZ                                   ,11159,2019/20        ,187.6,11183.4,1351.1,10205.7,1762.4,754.0
ARROZ                                   ,11159,2020/21        ,754.0,11766.4,895.1,10802.1,1311.1,1302.3
ARROZ                                   ,11159,2021/22        ,1302.3,10780.5,1337.3,10506.4,2067.1,846.6
ARROZ                                   ,11159,2022/23        ,846.6,10031.8,1550.3,10324.1,1696.7,407.9
ARROZ                                   ,11159,2023/24        ,407.9,10577.0,1421.5,10547.4,1362.2,496.8
ARROZ                                   ,11159,2024/25        ,496.8,12757.7,1400.0,11000.0,1600.0,2054.5
ARROZ                                   ,11160,2025/26        ,2054.5,11170.2,1400.0,11000.0,2100.0,1524.7
FEIJAO                                  ,3944,1999/00        ,132.7,3098.0,78.8,3050.0,4.7,254.8
FEIJAO                                  ,3944,2000/01        ,254.8,2587.1,129.8,2880.0,2.3,89.4
FEIJAO                                  ,3944,2001/02        ,89.4,2983.0,82.2,3050.0,16.1,88.5
FEIJAO                                  ,3944,2002/03        ,88.5,3205.0,103.1,3150.0,2.7,243.9
FEIJAO                                  ,3944,2003/04        ,243.9,2978.3,78.9,3150.0,2.0,149.1
FEIJAO                                  ,3944,2004/05        ,149.1,3045.5,100.4,3200.0,2.1,92.9
FEIJAO                                  ,3944,2005/06        ,92.9,3471.2,69.8,3450.0,7.7,176.2
FEIJAO                                  ,3944,2006/07        ,176.2,3339.7,96.0,3500.0,30.5,81.4
FEIJAO                                  ,3944,2007/08        ,81.4,3520.9,209.7,3580.0,2.0,230.0
FEIJAO                                  ,3944,2008/09        ,230.0,3502.7,110.0,3500.0,25.0,317.7
FEIJAO                                  ,3944,2009/10        ,317.7,3322.5,181.2,3450.0,4.5,366.9
FEIJAO                                  ,3944,2010/11        ,366.9,3732.8,207.1,3600.0,20.4,686.4
FEIJAO                                  ,3944,2011/12        ,686.4,2918.4,312.3,3500.0,43.3,373.8
