ano_agricola,dsc_safra_previsao,uf,produto,id_produto,area_plantada_mil_ha,producao_mil_t,dsc_situacao_levantamento,producao_acucar_mil_t,producao_etanol_anidro_mil_l,producao_etanol_hidratado_mil_l,producao_etanol_total_mil_l,produtcao_atr_kg_t
2005/06             ,UNICA          ,AL,CANA DE ACUCAR                          ,4238,402.1,23110.7,PREVISAO                                                    ,2077.4,294667.9,278710.6,573378.5,137.2
2005/06             ,UNICA          ,AM,CANA DE ACUCAR                          ,4238,3.8,194.4,PREVISAO                                                    ,22.7,486.3,367.2,853.5,130.2
2005/06             ,UNICA          ,BA,CANA DE ACUCAR                          ,4238,55.0,3367.7,PREVISAO                                                    ,242.3,229000,51675.3,280675.3,221.5
2005/06             ,UNICA          ,CE,CANA DE ACUCAR                          ,4238,35.1,1773.3,PREVISAO                                                    ,0,569.3,27879.2,28448.5,27.2
2005/06             ,UNICA          ,ES,CANA DE ACUCAR                          ,4238,64.4,4243.4,PREVISAO                                                    ,66.2,172000.9,79486.4,251487.3,119.6
2005/06             ,UNICA          ,GO,CANA DE ACUCAR                          ,4238,202.5,15547.9,PREVISAO                                                    ,874.5,341566.6,399274.8,740841.4,141.2
2005/06             ,UNICA          ,MA,CANA DE ACUCAR                          ,4238,31.8,1969.9,PREVISAO                                                    ,17.7,107380.1,24389.2,131769.3,126.6
2005/06             ,UNICA          ,MG,CANA DE ACUCAR                          ,4238,357.1,27557.1,PREVISAO                                                    ,1833,423271.6,450013.8,873285.4,124.5
2005/06             ,UNICA          ,MS,CANA DE ACUCAR                          ,4238,139.1,9799,PREVISAO                                                    ,337.2,285046.2,300606.5,585652.7,139.3
2005/06             ,UNICA          ,MT,CANA DE ACUCAR                          ,4238,205.4,13460.2,PREVISAO                                                    ,534.2,364525.8,446055.9,810581.7,145.5
2005/06             ,UNICA          ,PA,CANA DE ACUCAR                          ,4238,10.4,606.3,PREVISAO                                                    ,0,34882.9,0,34882.9,101.6
2005/06             ,UNICA          ,PB,CANA DE ACUCAR                          ,4238,105.6,4765.1,PREVISAO                                                    ,172.6,122955.1,87796.2,210751.3,114.7
2005/06             ,UNICA          ,PE,CANA DE ACUCAR                          ,4238,362.4,16943.6,PREVISAO                                                    ,1475.6,111550.6,102886.7,214437.3,113.3
2005/06             ,UNICA          ,PI,CANA DE ACUCAR                          ,4238,10.0,614,PREVISAO                                                    ,0,35765.3,12347.2,48112.5,136.8
2005/06             ,UNICA          ,PR,CANA DE ACUCAR                          ,4238,410.9,28504.9,PREVISAO                                                    ,1663.1,478451.6,835067.2,1313518.8,140.4
2005/06             ,UNICA          ,RJ,CANA DE ACUCAR                          ,4238,169.2,7576.4,PREVISAO                                                    ,432.4,191190.6,89401.7,280592.3,124.4
2005/06             ,UNICA          ,RN,CANA DE ACUCAR                          ,4238,50.6,2637.8,PREVISAO                                                    ,172.7,23214.6,26412.7,49627.3,101.2
2005/06             ,UNICA          ,RS,CANA DE ACUCAR                          ,4238,32.4,906.2,PREVISAO                                                    ,0,0,70617.5,70617.5,131.8
2005/06             ,UNICA          ,SC,CANA DE ACUCAR                          ,4238,16.7,601.7,PREVISAO                                                    ,0,0,0,0,0
2005/06             ,UNICA          ,SE,CANA DE ACUCAR                          ,4238,24.8,1417.5,PREVISAO                                                    ,51.1,19899.9,25627.1,45527,93.2
2005/06             ,UNICA          ,SP,CANA DE ACUCAR                          ,4238,3146.6,265543.3,PREVISAO                                                    ,16740.9,5849529.8,4431662.7,10281192.5,133.3
2005/06             ,UNICA          ,TO,CANA DE ACUCAR                          ,4238,4.4,273,PREVISAO                                                    ,0,19493,5762.6,25255.6,161.7
2006/07             ,UNICA          ,AL,CANA DE ACUCAR                          ,4238,402.7,25168.8,PREVISAO                                                    ,2184.9,273392.5,326198.8,599591.3,132.2
