num_ano_gravacao,num_mes_gravacao,munipio_armazem_venda,uf,qtd_produto_kg,valor_comercializado,numero_atendimentos,clientes_atendidos
2021,1,RIO BRANCO                                        ,AC,138861,205514.2800000001,284,220
2021,1,MACEIÓ                                            ,AL,129300,156514.8,122,73
2021,1,PALMEIRA DOS ÍNDIOS                               ,AL,24420,29779.2,21,20
2021,1,MANAUS                                            ,AM,177850,262874.7999999999,93,63
2021,1,IRECÊ                                             ,BA,6600,7867.2,2,2
2021,1,ITABERABA                                         ,BA,145680,168072.0,81,65
2021,1,RIBEIRA DO POMBAL                                 ,BA,12600,14856.96,7,7
2021,1,CRATEÚS                                           ,CE,364620,437544.0,176,112
2021,1,ICÓ                                               ,CE,630480,756576.0,165,154
2021,1,IGUATU                                            ,CE,462874,555448.8,211,153
2021,1,JUAZEIRO DO NORTE                                 ,CE,105300,126360.0,56,48
2021,1,MARACANAÚ                                         ,CE,687660,825192.0,203,147
2021,1,MORADA NOVA                                       ,CE,66540,79848.0,13,13
2021,1,RUSSAS                                            ,CE,970936,1165123.2,374,325
2021,1,SENADOR POMPEU                                    ,CE,633060,759672.0,237,209
2021,1,SOBRAL                                            ,CE,318660,382392.0,174,85
2021,1,TAUÁ                                              ,CE,120540,144648.0,127,47
2021,1,BRASÍLIA                                          ,DF,318170,390621.8919999998,434,371
2021,1,CACHOEIRO DE ITAPEMIRIM                           ,ES,218940,287687.9999999999,162,135
2021,1,COLATINA                                          ,ES,277980,364321.2,216,185
2021,1,GOIÂNIA                                           ,GO,111481,128257.5,82,46
2021,1,PONTALINA                                         ,GO,61310,71352.3,14,12
2021,1,SÃO LUÍS DE MONTES BELOS                          ,GO,227760,261552.0,131,103
2021,1,IMPERATRIZ                                        ,MA,78351,106558.34,76,61
2021,1,SÃO LUÍS                                          ,MA,120307,172747.562,148,116
2021,1,MONTES CLAROS                                     ,MG,7664,10738.7968,9,8
2021,1,CAMPINA GRANDE                                    ,PB,495090,631608.6000000003,289,216
2021,1,JOÃO PESSOA                                       ,PB,276660,351465.0000000002,181,90
2021,1,MONTEIRO                                          ,PB,122580,155208.6,146,93
2021,1,PATOS                                             ,PB,137081,173952.91,54,44
2021,1,ARCOVERDE                                         ,PE,398942,472238.556,111,91
2021,1,PETROLINA                                         ,PE,30462,36014.504,16,12
2021,1,RECIFE                                            ,PE,358139,423286.2520000002,142,100
2021,1,CAMPO MAIOR                                       ,PI,135128,164438.4,77,65
2021,1,FLORIANO                                          ,PI,147220,179309.6823,306,190
2021,1,PARNAÍBA                                          ,PI,573480,697478.2919999998,433,251
2021,1,PICOS                                             ,PI,78042,94715.7,84,68
2021,1,TERESINA                                          ,PI,644379,786142.0421999997,641,454
2021,1,AÇU                                               ,RN,293340,356572.2,184,146
2021,1,CAICÓ                                             ,RN,567282,690596.2238999999,290,181
2021,1,CURRAIS NOVOS                                     ,RN,580860,703976.9999999999,236,180
2021,1,MOSSORÓ                                           ,RN,270120,327756.0000000002,164,108
2021,1,NATAL                                             ,RN,693237,842306.4099999997,421,257
2021,1,UMARIZAL                                          ,RN,498300,604526.3999999998,281,213
2021,1,CACOAL                                            ,RO,74590,97637.14,74,59
2021,1,PORTO VELHO                                       ,RO,54000,72581.525,137,110
2021,1,BOA VISTA                                         ,RR,219950,245742.5,342,235
2021,1,CRUZEIRO DO SUL                                   ,RS,314595,439931.3,114,113
2021,1,ERECHIM                                           ,RS,1314360,1670726.0,212,207
2021,1,MARAU                                             ,RS,369380,492428.8,72,69
2021,1,SANTA ROSA                                        ,RS,148850,199459.0,63,63
2021,1,CAMPOS NOVOS                                      ,SC,158100,215915.4,22,19
2021,1,BERNARDINO DE CAMPOS                              ,SP,25905,30617.32,28,19
2021,2,RIO BRANCO                                        ,AC,102552,151004.16,234,182
2021,2,MACEIÓ                                            ,AL,185528,217067.76,134,75
2021,2,PALMEIRA DOS ÍNDIOS                               ,AL,132160,154627.2,67,58
2021,2,MANAUS                                            ,AM,80350,124990.0,61,39
2021,2,IRECÊ                                             ,BA,2520,3199.2,3,2
2021,2,ITABERABA                                         ,BA,156240,201072.0,91,78
2021,2,RIBEIRA DO POMBAL                                 ,BA,4560,5928.0,2,2
2021,2,CRATEÚS                                           ,CE,338920,425135.2000000001,153,99
2021,2,ICÓ                                               ,CE,419,523.75,2,2
2021,2,IGUATU                                            ,CE,356040,447642.0,158,127
2021,2,JUAZEIRO DO NORTE                                 ,CE,227691,286267.1699999999,117,85
2021,2,MARACANAÚ                                         ,CE,494219,621442.1299999999,160,114
2021,2,RUSSAS                                            ,CE,401770,502212.5,150,147
2021,2,SENADOR POMPEU                                    ,CE,9354,11879.58,6,4
2021,2,SOBRAL                                            ,CE,279949,351149.23,163,86
2021,2,TAUÁ                                              ,CE,115440,145161.6,113,61
2021,2,BRASÍLIA                                          ,DF,276040,343358.4799999999,386,338
2021,2,CACHOEIRO DE ITAPEMIRIM                           ,ES,149460,213070.8000000001,132,120
2021,2,COLATINA                                          ,ES,180891,258063.8399999999,193,159
2021,2,GOIÂNIA                                           ,GO,60561,75701.25,57,38
2021,2,PONTALINA                                         ,GO,3900,4953.0,3,2
2021,2,SÃO LUÍS DE MONTES BELOS                          ,GO,58840,78845.6,75,61
2021,2,IMPERATRIZ                                        ,MA,90730,122485.5,88,67
2021,2,SÃO LUÍS                                          ,MA,117049,165039.09,141,105
2021,2,MONTES CLAROS                                     ,MG,1520,2486.41,6,5
2021,2,CAMPINA GRANDE                                    ,PB,375060,491328.6,249,195
2021,2,JOÃO PESSOA                                       ,PB,183280,240096.8,141,67
2021,2,MONTEIRO                                          ,PB,101940,133541.4000000001,112,77
2021,2,PATOS                                             ,PB,74880,98092.8,49,33
2021,2,ARCOVERDE                                         ,PE,296175,364850.8920000001,96,65
2021,2,PETROLINA                                         ,PE,33620,41270.32,10,8
2021,2,RECIFE                                            ,PE,290921,357397.1879999999,148,88
2021,2,CAMPO MAIOR                                       ,PI,76477,97890.56,51,42
2021,2,FLORIANO                                          ,PI,127028,162616.7799999999,286,172
2021,2,PARNAÍBA                                          ,PI,326497,418083.68,264,181
2021,2,PICOS                                             ,PI,47250,60480.0,64,52
2021,2,TERESINA                                          ,PI,515539,660602.5779999995,596,416
2021,2,AÇU                                               ,RN,316698,402206.4600000002,237,166
2021,2,CAICÓ                                             ,RN,611510,776617.7000000001,233,169
2021,2,CURRAIS NOVOS                                     ,RN,512520,650900.3964,217,166
2021,2,MOSSORÓ                                           ,RN,279600,355091.9999999999,170,115
2021,2,NATAL                                             ,RN,646524,821085.4799999996,421,256
2021,2,UMARIZAL                                          ,RN,102536,130220.72,42,36
2021,2,CACOAL                                            ,RO,61508,83348.6,77,60
2021,2,PORTO VELHO                                       ,RO,52559,74159.5221,139,101
2021,2,BOA VISTA                                         ,RR,254650,296162.5,350,247
2021,2,CRUZEIRO DO SUL                                   ,RS,238385,343274.3999999999,101,97
2021,2,ERECHIM                                           ,RS,154880,207772.2,24,23
2021,2,MARAU                                             ,RS,287180,393811.8,50,49
2021,2,SANTA ROSA                                        ,RS,68210,93538.3,37,37
2021,2,CAMPOS NOVOS                                      ,SC,36770,52581.1,7,5
2021,2,BERNARDINO DE CAMPOS                              ,SP,9737,13118.53,27,19
2021,3,RIO BRANCO                                        ,AC,114350,170255.4000000001,308,217
2021,3,MACEIÓ                                            ,AL,261524,309746.4,194,98
2021,3,PALMEIRA DOS ÍNDIOS                               ,AL,197460,233992.8,100,74
2021,3,MANAUS                                            ,AM,51450,84201.5,42,32
2021,3,IRECÊ                                             ,BA,2520,3060.0,2,1
2021,3,ITABERABA                                         ,BA,204600,248817.6,126,107
2021,3,RIBEIRA DO POMBAL                                 ,BA,39660,48254.4,13,12
2021,3,CRATEÚS                                           ,CE,110160,139903.2,54,40
2021,3,IGUATU                                            ,CE,319424,405668.4799999999,162,112
2021,3,JUAZEIRO DO NORTE                                 ,CE,127380,161772.6,110,66
2021,3,MARACANAÚ                                         ,CE,543822,690653.9400000001,164,116
